"age","identifies_as_man","identifies_as_woman","identifies_as_hispanic_or_latinx","identifies_as_black","identifies_as_white","highest_education_level","length_in_this_facility","state","party","how_often_discuss_politics","how_get_news","ever_voted","direction_country_headed","how_often_officials_acting_in_your_interest","which_party_for_cj_reform","stance_on_assault_weapons_ban","stance_on_marijuana_legalization","stance_on_tightening_border_security","stance_on_raise_min_wage","race_affects_politics","should_incarcerated_vote","incarceration_impacts_motivation_to_vote","politics_changed_since_incarcerated","cj_important_issue_eliminating_mandatory_mins","cj_important_issue_reducing_racial_bias","cj_important_issue_abolishing_death_penalty","cj_important_issue_lowering_incarceration_rates_rural_communities","cj_important_issue_improving_prison_conds","cj_important_issue_restoring_voting_rights","cj_important_issue_reducing_prison_pop","cj_important_issue_ending_war_on_drugs","cj_important_issue_ending_private_prisons","cj_important_issue_lowering_sentences_violent_crimes","cj_important_issue_raising_wages_incarcerated_workers","who_vote_for","approve_disapprove_trump"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","AR","The Democratic party","Never","Local TV news","Yes","Right direction","Rarely","Democrats","Undecided","Strongly support","Strongly oppose","Strongly support","Not at all","Yes","No impact","No","0","1","0","1","0","0","0","0","0","1","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","AR","The Democratic party","Rarely","Local TV news","Yes","In between","Don't know / No opinion","Democrats","Undecided","Undecided","Oppose","Strongly support","Not at all","Yes","No impact","No","0","0","0","0","1","1","0","0","0","0","1","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","AR","The Democratic party","Frequently","Local TV news","No","Wrong track","Rarely","Don't know / No opinion","Strongly support","Strongly oppose","Strongly support","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","0","1","0","0","1","1","0","0","0","0","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Very Frequently","Do not read / watch / listen to the news","No","Wrong track","Sometimes","Democrats","Strongly oppose","Undecided","Undecided","Strongly support","Somewhat","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","0","1","0","1","0","0","1","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Cable news","No","Wrong track","Never","Neither is committed","Strongly support","Oppose","Strongly support","Strongly support","Somewhat","No","No impact","Yes","0","1","0","0","0","0","1","0","0","1","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Very Frequently","Cable news","Yes","Wrong track","Never","Neither is committed","Strongly support","Undecided","Undecided","Support","A great deal","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","0","1","0","0","1","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","No","No opinion","Sometimes","Republicans","Strongly support","Strongly support","Undecided","Strongly support","A great deal","Yes","No impact","No","1","0","0","1","0","0","0","0","0","1","0","Kamala Harris","Approve"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Frequently","Cable news","Yes","In between","Sometimes","Neither is committed","Strongly support","Strongly support","Oppose","Support","Somewhat","Don't know / No opinion","No impact","No","0","1","0","0","0","0","1","1","0","0","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Frequently","Cable news","No","Wrong track","Rarely","Democrats","Support","Support","Oppose","Strongly support","Somewhat","Yes","Slightly decreased my motivation to vote","No","1","0","0","0","0","1","1","0","0","0","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Very Frequently","Local TV news","No","Wrong track","Rarely","Democrats","Strongly support","Support","Support","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","0","1","0","0","0","1","0","0","1","0","0","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Rarely","Newspapers","No","Wrong track","Sometimes","Don't know / No opinion","Strongly oppose","Strongly support","Strongly support","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","0","1","0","1","1","0","0","0","0","0","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Very Frequently","Local TV news","No","In between","Never","Democrats","Strongly support","Strongly support","Strongly support","Strongly support","Not at all","No","No impact","Yes","0","1","0","1","0","0","0","0","1","0","0","Donald Trump","Approve"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Never","Cable news","No","In between","Sometimes","Democrats","Strongly support","Strongly support","Undecided","Strongly support","Not sure","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","1","1","0","0","0","1","0","Joe Biden","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","No","Wrong track","Sometimes","Democrats","Strongly support","Strongly support","Strongly support","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","0","1","0","0","1","0","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Frequently","Newspapers","No","In between","Rarely","Democrats","Strongly oppose","Strongly support","Undecided","Support","A great deal","Yes","Increased my motivation to vote","No","1","0","0","0","0","1","1","0","0","0","0","Cory Booker","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Rarely","Local TV news","No","In between","Don't know / No opinion","Democrats","Undecided","Support","Undecided","Strongly support","Not at all","Yes","No impact","No","0","0","0","0","0","0","1","0","0","1","1","Joe Biden","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Cable news","No","In between","Rarely","Don't know / No opinion","Oppose","Strongly support","Undecided","Strongly support","Somewhat","Don't know / No opinion","Decreased my motivation to vote","No","0","1","0","0","0","0","0","0","0","0","1","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","Yes","In between","Sometimes","Democrats","Undecided","Strongly support","Undecided","Strongly support","A great deal","Yes","Increased my motivation to vote","No","0","1","0","0","1","0","0","0","0","0","1","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Frequently","Local TV news","No","Right direction","Sometimes","Neither is committed","Support","Support","Support","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","1","0","0","0","0","0","0","0","0","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","No","In between","Rarely","They're equally committed","Undecided","Strongly support","Undecided","Strongly support","Not sure","Yes","No impact","Yes","0","0","0","0","0","0","1","0","0","1","1","Tom Steyer","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Word of mouth","Yes","In between","Rarely","Don't know / No opinion","Strongly support","Undecided","Oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","1","0","0","0","0","0","Bernie Sanders","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","No","In between","Never","Neither is committed","Strongly support","Oppose","Support","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","1","1","0","0","0","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Very Frequently","Local TV news","No","In between","Rarely","Democrats","Strongly oppose","Strongly support","Strongly support","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","0","0","0","1","0","0","1","1","0","0","0","Donald Trump","Approve"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Cable news","Yes","Wrong track","Rarely","Democrats","Strongly support","Strongly support","Strongly oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","0","1","0","0","1","0","1","0","0","0","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Rarely","Local TV news","No","Wrong track","Sometimes","Don't know / No opinion","Undecided","Undecided","Undecided","Support","Not at all","Yes","No impact","No","0","1","0","1","0","0","0","0","0","0","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","Yes","In between","Rarely","Democrats","Strongly support","Strongly support","Oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","No","0","0","0","0","0","1","1","0","0","0","1","Tom Steyer","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","Yes","In between","Sometimes","Democrats","Strongly support","Support","Support","Strongly support","Somewhat","No","No impact","Yes","0","0","0","0","0","0","1","1","0","0","1","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Very Frequently","Cable news","No","Wrong track","Rarely","Democrats","Strongly support","Support","Support","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","1","0","0","0","1","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Never","Local TV news","Yes","In between","Sometimes","Neither is committed","Undecided","Undecided","Support","Strongly support","Somewhat","Don't know / No opinion","Decreased my motivation to vote","No","0","0","0","0","1","0","1","0","0","1","0","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Rarely","Local TV news","Yes","Wrong track","Rarely","Democrats","Strongly support","Strongly support","Strongly support","Strongly support","A great deal","Yes","No impact","No","0","0","1","0","1","0","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Frequently","Word of mouth","Yes","In between","Rarely","Republicans","Support","Strongly support","Strongly support","Strongly support","Not at all","Yes","Increased my motivation to vote","No","0","0","0","0","1","0","1","0","0","0","1","Bernie Sanders","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","Yes","Wrong track","Sometimes","Democrats","Undecided","Strongly support","Undecided","Strongly support","A great deal","No","No impact","No","0","0","0","0","1","0","1","0","0","0","1","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Never","Cable news","Yes","Wrong track","Never","Don't know / No opinion","Undecided","Strongly support","Undecided","Strongly support","A great deal","Yes","No impact","No","1","0","0","0","1","0","0","0","0","1","0","Kamala Harris","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Frequently","Local radio","Yes","Wrong track","Never","Neither is committed","Support","Support","Undecided","Strongly support","A great deal","Yes","Decreased my motivation to vote","Yes","0","1","0","1","0","1","0","0","0","0","0","Don't Know / Would not vote","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Frequently","Local TV news","Yes","Right direction","Sometimes","Democrats","Strongly oppose","Strongly support","Strongly support","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","0","0","1","0","0","1","1","0","0","0","0","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Very Frequently","Word of mouth","No","Wrong track","Rarely","Neither is committed","Oppose","Strongly support","Undecided","Strongly support","A great deal","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","0","1","1","0","0","1","0","Amy Klobuchar","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","Yes","In between","Sometimes","They're equally committed","Support","Strongly support","Strongly support","Undecided","Not sure","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","0","1","1","1","0","0","0","Bernie Sanders","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Frequently","National public radio","Yes","Wrong track","Sometimes","Neither is committed","Support","Strongly support","Undecided","Strongly support","A great deal","Yes","No impact","No","0","1","0","0","0","0","1","1","0","0","0","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","No","In between","Sometimes","Democrats","Undecided","Strongly support","Oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","1","0","0","0","0","1","1","0","0","0","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Cable news","Yes","Right direction","Sometimes","Neither is committed","Strongly support","Strongly support","Strongly support","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","0","1","0","0","0","0","1","0","1","0","0","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","Yes","Wrong track","Don't know / No opinion","Republicans","Strongly support","Undecided","Strongly support","Strongly support","Not sure","Yes","Slightly increased my motivation to vote","No","0","0","0","0","0","1","0","0","0","0","1","Don't Know / Would not vote","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Rarely","Local TV news","Yes","In between","Rarely","Democrats","Undecided","Strongly support","Support","Support","Not at all","Don't know / No opinion","No impact","No","0","0","0","1","0","0","1","0","0","0","1","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Very Frequently","Local TV news","No","Wrong track","Rarely","Neither is committed","Strongly support","Strongly support","Oppose","Strongly support","Somewhat","Yes","No impact","No","0","0","0","1","0","0","1","0","0","0","0","Pete Buttigieg","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","Yes","Wrong track","Rarely","Republicans","Strongly oppose","Strongly support","Strongly oppose","Strongly support","A great deal","Yes","No impact","No","1","1","0","0","0","0","1","0","0","0","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","10 years or less","KS","The Democratic party","Occasionally","Local TV news","No","In between","Sometimes","Republicans","Strongly oppose","Strongly support","Oppose","Strongly support","Somewhat","Yes","No impact","Yes","0","0","0","1","0","0","1","0","1","0","0","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frequently","Local TV news","No","In between","Rarely","Neither is committed","Support","Undecided","Undecided","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","0","1","0","0","1","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Occasionally","Newspapers, Local TV news","No","In between","Rarely","Neither is committed","Strongly oppose","Strongly support","Oppose","Strongly support",NA,"Yes","No impact","No","0","1","0","0","0","0","1","0","0","1","0","Don't Know / Would not vote","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very Frequently","Local radio, Local TV news, Cable news","No","Wrong track","Never","Neither is committed","Support","Support","Undecided","Strongly support","Somewhat","Yes","No impact","Yes","1","1","0","0","0","0","0","0","0","1","0","Pete Buttigieg","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Occasionally","Newspapers, Local radio, Local TV news","No","No opinion","Rarely","Don't know / No opinion","Undecided","Undecided","Undecided","Strongly support","Somewhat","Yes","Slightly increased my motivation to vote","Yes","0","1","0","0","0","0","1","0","0","1","0","Cory Booker","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","National public radio, Local TV news","No","Wrong track","Rarely","Republicans","Undecided","Strongly support","Undecided","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","0","1","0","0","1","0","0","0","0","0","1","Tom Steyer","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","Newspapers, Local radio, Local TV news","No","Wrong track","Rarely",NA,"Support","Undecided","Oppose","Support","A great deal","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","1","0","0","0","1","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Occasionally","Local TV news","Yes","Wrong track","Rarely","Democrats","Undecided","Strongly oppose","Support","Strongly support","Not sure","Yes","Decreased my motivation to vote","Yes","0","1","0","0","1","0","0","0","0","1","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Occasionally","Local TV news","No","In between","Never","They're equally committed","Strongly support","Strongly support","Undecided","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","0","1","0","0","1","0","Amy Klobuchar","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Rarely","Local TV news","No","No opinion","Don't know / No opinion","Democrats","Support","Strongly support","Undecided","Strongly support","Not sure","Yes","No impact","Yes","0","0","0","0","1","0","0","0","0","1","1","Don't Know / Would not vote","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","National public radio","No","Wrong track","Rarely","Neither is committed","Strongly support","Strongly support","Strongly oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","0","1","0","0","1","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Occasionally","Local TV news","Yes","In between","Never","Don't know / No opinion","Strongly support","Undecided","Undecided","Strongly support","Not sure","Yes","No impact","Yes","0","0","1","0","0","1","0","0","0","1","0","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","National public radio","No","In between","Never","They're equally committed","Strongly support","Strongly support","Oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","1","1","0","0","0","0","0","0","0","0","Kamala Harris","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Frequently","Local TV news","Yes","In between","Sometimes","They're equally committed","Strongly support","Support","Support","Strongly support","Somewhat","Yes","Increased my motivation to vote","No","0","1","1","0","0","0","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Rarely","Local TV news","No","Right direction","Never","Neither is committed","Strongly support","Strongly support","Support","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","0","1","0","0","1","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","National public radio","No","In between","Rarely","Republicans","Strongly support","Strongly support","Strongly support","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","1","0","1","0","0","0","Donald Trump","Approve"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","National public radio","Yes","In between","Never","Neither is committed","Strongly support","Support","Support","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","1","0","0","0","1","0","Elizabeth Warren","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Occasionally","Newspapers, Local radio, National public radio","No","In between","Rarely","Neither is committed","Oppose","Support","Support","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","1","0","0","0","0","0","0","0","1","0","Cory Booker","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","Newspapers, Local radio, National public radio, Local TV news, Word of mouth","No","Wrong track","Never","Democrats","Strongly oppose","Strongly support","Oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","0","1","0","0","0","0","1","0","0","1","0","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Occasionally","Newspapers, Local TV news","No","In between","Rarely","Neither is committed","Support","Oppose","Undecided","Support","A great deal",NA,"Increased my motivation to vote","Yes","0","0","0","0","0","0","1","0","0","1","1","Amy Klobuchar","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Occasionally","Local radio, Local TV news","No","In between","Rarely","Neither is committed","Strongly support","Support","Support","Support","Somewhat","No","Increased my motivation to vote","Yes","0","0","0","0","1","1","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","Newspapers, Local radio, National public radio, Local TV news","No","In between","Never","Republicans","Strongly support","Strongly support","Strongly support","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","1","1","0","0","0","1","0","0","0","0","0","Don't Know / Would not vote","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Frequently","Local TV news, Cable news","No","In between","Sometimes","Republicans","Strongly oppose","Strongly support","Support","Strongly support","Not sure","No","Increased my motivation to vote","Yes","1","1","0","0","0","1","0","0","0","0","0","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","Cable news","No","In between","Sometimes","Neither is committed","Strongly support","Support","Strongly support","Strongly support","A great deal","No","Increased my motivation to vote","Yes","1","0","0","0","0","0","1","0","1","0","0","Donald Trump","Approve"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Occasionally","Local TV news","No","In between","Sometimes","Neither is committed","Undecided","Strongly support","Undecided","Support","A great deal","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","1","0","0","1","0","Donald Trump","Approve"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Occasionally","Local TV news","No","In between","Never","Republicans","Undecided","Strongly support","Support","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","1","1","0","0","0","0","0","0","0","1","0","Cory Booker","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Rarely","Word of mouth","No","In between","Don't know / No opinion","They're equally committed","Support","Strongly support","Strongly support","Support","Not at all","Don't know / No opinion","Slightly decreased my motivation to vote","Yes","0","1","0","0","0","0","0","0","0","0","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Occasionally","Cable news","No","Wrong track","Never","Republicans","Support","Strongly support","Strongly oppose","Strongly support","Not at all","Yes","No impact","No","1","0","0","0","1","0","0","0","0","1","0","Don't Know / Would not vote","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Frequently","Cable news","No","Right direction","Sometimes","They're equally committed","Strongly oppose","Strongly support","Support","Strongly support","Not at all","Yes","No impact","No","0","1","0","0","0","0","1","0","0","1","0","Donald Trump","Approve"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Rarely","Local TV news","No","No opinion","Rarely","Don't know / No opinion","Strongly oppose","Strongly support","Strongly support","Strongly support","Not sure","Don't know / No opinion","No impact","Yes","0","0","1","0","0","0","0","0","0","0","0","Don't Know / Would not vote","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Rarely","Local TV news","No","Wrong track","Never","Neither is committed","Undecided","Strongly support","Undecided","Strongly support","Not sure","Don't know / No opinion","No impact","No","0","0","0","0","0","0","1","1","0","0","1","Don't Know / Would not vote","No opinion"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Occasionally","Newspapers, Local radio, Local TV news, Cable news","Yes","In between","Rarely","Neither is committed","Strongly oppose","Support","Support","Strongly support","A great deal","Yes","Increased my motivation to vote","No","0","1","0","0","0","1","0","0","0","1","0","Bernie Sanders","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Frequently","Cable news","No","Wrong track","Never","Neither is committed","Strongly support","Undecided","Strongly support","Strongly support","A great deal","Yes","Slightly increased my motivation to vote","Yes","1","1","0","0","0","0","0","0","0","1","0","Cory Booker","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","Cable news","No","Wrong track","Rarely","Democrats","Strongly support","Strongly support","Support","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","1","0","0","0","0","1","1","0","0","0","0","Joe Biden","Disapprove"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","Cable news","Yes","Wrong track","Sometimes","Neither is committed","Strongly support","Strongly support","Support","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","1","0","0","0","0","1","0","0","1","0","0","Donald Trump","Approve"
"36 or older",TRUE,FALSE,FALSE,TRUE,FALSE,"High school or GED or less","Over 10 years",NA,"Independent","Very Frequently","Newspapers","No","Wrong track","Sometimes","Neither is committed","Undecided","Strongly support","Oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","0","1","0","0","0","0","0","0","0","0",NA,"Disapprove"
